timestamp,temperatura_ar,umidade_relativa,amonia,temperatura_globo_negro,ponto_orvalho,itgu
2025-01-01 00:00:00,21.65,85.66,15.81,23.68,19.14,72.07
2025-01-01 00:15:00,21.09,86.28,13.92,23.81,18.7,72.04
2025-01-01 00:30:00,20.75,88.13,10.84,22.47,18.71,70.71
2025-01-01 00:45:00,20.82,85.07,10.59,21.57,18.22,69.62
2025-01-01 01:00:00,20.13,88.95,8.47,21.73,18.25,69.8
2025-01-01 01:15:00,20.96,88.6,8.44,22.01,19.0,70.35
2025-01-01 01:30:00,20.02,89.48,12.94,21.23,18.24,69.3
2025-01-01 01:45:00,19.89,89.18,16.63,21.37,18.06,69.37
2025-01-01 02:00:00,20.05,88.24,8.95,21.99,18.05,69.99
2025-01-01 02:15:00,20.1,87.02,12.49,20.86,17.87,68.79
2025-01-01 02:30:00,20.3,90.26,11.25,21.44,18.65,69.65
2025-01-01 02:45:00,19.42,88.88,14.64,21.29,17.54,69.1
2025-01-01 03:00:00,20.2,87.18,11.04,21.74,18.0,69.72
2025-01-01 03:15:00,19.86,90.53,14.33,22.19,18.27,70.27
2025-01-01 03:30:00,19.9,88.85,14.44,21.97,18.01,69.96
2025-01-01 03:45:00,20.18,88.66,9.01,21.42,18.25,69.49
2025-01-01 04:00:00,20.86,90.51,14.51,22.15,19.25,70.58
2025-01-01 04:15:00,20.87,86.97,15.85,22.61,18.62,70.81
2025-01-01 04:30:00,20.92,89.67,14.05,21.4,19.16,69.79
2025-01-01 04:45:00,21.21,86.18,7.03,23.06,18.81,71.33
2025-01-01 05:00:00,21.36,86.4,10.7,24.1,18.99,72.44
2025-01-01 05:15:00,21.41,84.28,12.82,24.19,18.65,72.41
2025-01-01 05:30:00,21.84,84.91,14.42,24.18,19.19,72.59
2025-01-01 05:45:00,22.1,82.7,8.34,24.37,19.02,72.72
2025-01-01 06:00:00,22.86,82.57,11.41,25.02,19.73,73.63
2025-01-01 06:15:00,22.54,80.48,9.99,25.33,19.02,73.67
2025-01-01 06:30:00,23.44,80.61,12.44,26.94,19.91,75.61
2025-01-01 06:45:00,24.01,78.73,11.93,25.56,20.08,74.29
2025-01-01 07:00:00,24.35,81.35,12.75,26.96,20.94,76.0
2025-01-01 07:15:00,24.74,74.68,13.88,28.18,19.93,76.85
2025-01-01 07:30:00,25.5,73.81,8.5,28.87,20.49,77.75
2025-01-01 07:45:00,25.87,77.19,10.58,28.25,21.56,77.51
2025-01-01 08:00:00,26.13,71.86,12.17,28.55,20.65,77.48
2025-01-01 08:15:00,26.12,72.02,15.87,29.45,20.67,78.39
2025-01-01 08:30:00,26.69,69.52,8.92,30.91,20.65,79.84
2025-01-01 08:45:00,27.55,70.65,12.46,30.28,21.73,79.61
2025-01-01 09:00:00,28.02,68.56,8.7,31.06,21.69,80.36
2025-01-01 09:15:00,28.57,66.54,12.87,32.38,21.73,81.7
2025-01-01 09:30:00,28.54,65.17,10.21,32.98,21.36,82.16
2025-01-01 09:45:00,30.0,64.28,13.64,32.8,22.51,82.4
2025-01-01 10:00:00,29.29,63.53,9.95,34.52,21.65,83.82
2025-01-01 10:15:00,30.48,61.77,16.74,34.89,22.31,84.42
2025-01-01 10:30:00,30.4,58.87,9.96,34.56,21.45,83.78
2025-01-01 10:45:00,30.86,59.4,14.07,35.64,22.02,85.07
2025-01-01 11:00:00,31.27,60.01,18.8,35.85,22.57,85.47
2025-01-01 11:15:00,31.87,55.53,13.21,35.9,21.85,85.27
2025-01-01 11:30:00,31.86,56.93,11.82,37.1,22.26,86.61
2025-01-01 11:45:00,31.92,52.69,14.14,37.04,21.05,86.12
2025-01-01 12:00:00,32.64,52.26,12.96,37.73,21.58,86.99
2025-01-01 12:15:00,32.47,53.6,9.14,38.01,21.83,87.37
2025-01-01 12:30:00,33.21,53.52,14.63,38.84,22.49,88.43
2025-01-01 12:45:00,32.73,50.66,13.28,38.83,21.15,87.94
2025-01-01 13:00:00,33.67,57.3,14.84,39.1,24.05,89.26
2025-01-01 13:15:00,34.01,52.04,13.9,38.86,22.76,88.56
2025-01-01 13:30:00,33.45,50.33,12.2,38.95,21.7,88.26
2025-01-01 13:45:00,34.79,47.58,7.97,39.67,22.01,89.09
2025-01-01 14:00:00,33.75,51.8,9.31,39.46,22.45,89.04
2025-01-01 14:15:00,33.7,51.06,12.54,39.12,22.17,88.6
2025-01-01 14:30:00,34.02,49.02,13.58,40.57,21.79,89.92
2025-01-01 14:45:00,33.17,50.32,14.13,39.15,21.45,88.37
2025-01-01 15:00:00,33.62,50.0,14.16,39.68,21.75,89.01
